Species,Population,MicrobeTreatment,TemperatureTreatment,Batch,Transfer,Hatching,Day6Mass,DateOfPrepupa,DateOfPupa,DateOfAdult,TimeToAdult,Sex,PupalMass,AdultSize,HornSize,Survival
Gazella,HI,PBS,Constant,1,12/5/2014,12/7/2014,0.1361,12/26/2015,12/27/2014,1/3/2015,27,F,,5.379,,Alive
Gazella,HI,PBS,Constant,1,12/5/2014,12/8/2014,0.1186,12/27/2015,12/28/2014,1/4/2015,27,M,,5.769,,Alive
Gazella,HI,PBS,Constant,1,12/5/2014,12/7/2014,0.2748,12/24/2015,12/25/2014,1/1/2015,25,F,,6.396,,Alive
Gazella,HI,PBS,Constant,1,12/5/2014,12/7/2014,0.1195,12/27/2015,12/28/2014,1/4/2015,28,M,,6.77,,Alive
Gazella,HI,PBS,Constant,1,12/5/2014,12/7/2014,0.0994,12/27/2015,12/28/2014,1/4/2015,28,M,,6.879,,Alive
Gazella,HI,PBS,Constant,1,12/5/2014,12/6/2014,0.1845,12/25/2015,12/26/2014,1/2/2015,27,F,,6.528,,Alive
Gazella,HI,PBS,Constant,1,12/5/2014,12/7/2014,0.1264,12/26/2015,12/27/2014,1/3/2015,27,F,,6.209,,Alive
Gazella,HI,PI,Constant,1,12/5/2014,12/7/2014,0.1093,12/30/2014,12/31/2014,1/7/2015,31,M,,6.308,,Alive
Gazella,HI,PI,Constant,1,12/5/2014,12/7/2014,0.1523,12/26/2014,12/27/2014,1/3/2015,27,M,,6.379,,Alive
Gazella,HI,PI,Constant,1,12/5/2014,12/6/2014,0.2002,12/24/2014,12/25/2014,1/1/2015,26,F,,6.791,,Alive
Gazella,HI,PI,Constant,1,12/5/2014,12/7/2014,0.1052,12/30/2014,12/31/2014,1/7/2015,31,F,,5.65,,Alive
Gazella,HI,PI,Constant,1,12/5/2014,12/8/2014,0.2702,12/26/2014,12/27/2014,1/3/2015,26,F,,6.462,,Alive
Gazella,HI,PI,Constant,1,12/5/2014,12/7/2014,0.3007,12/24/2014,12/25/2014,1/1/2015,25,M,,6.302,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.1186,12/27/2014,12/28/2014,1/5/2015,29,F,,5.484,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.0986,12/27/2014,12/28/2014,1/5/2015,29,F,,5.901,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/6/2014,0.1893,12/27/2014,12/28/2014,1/5/2015,30,F,,6.093,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.0883,12/30/2014,12/31/2014,1/8/2015,32,M,,4.962,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.0752,1/2/2015,1/3/2015,1/11/2015,35,F,,5.556,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.186,12/25/2014,12/26/2014,1/3/2015,27,F,,6.165,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.0748,1/2/2015,1/3/2015,1/11/2015,35,M,,5.396,,Alive
Gazella,HI,PBS,Fluctuating,1,12/5/2014,12/7/2014,0.0609,1/5/2015,1/6/2015,1/14/2015,38,F,,5.022,,Alive
Gazella,HI,PI,Fluctuating,1,12/5/2014,12/7/2014,0.104,12/28/2014,12/29/2014,1/6/2015,30,F,,6.143,,Alive
Gazella,HI,PI,Fluctuating,1,12/5/2014,12/7/2014,0.0432,1/3/2015,1/4/2015,1/12/2015,36,F,,4.57,,Alive
Gazella,HI,PI,Fluctuating,1,12/5/2014,12/7/2014,0.0707,12/30/2014,12/31/2014,1/8/2015,32,F,,6.11,,Alive
Gazella,HI,PI,Fluctuating,1,12/5/2014,12/7/2014,0.1394,12/27/2014,12/28/2014,1/5/2015,29,F,,6.104,,Alive
Gazella,HI,PI,Fluctuating,1,12/5/2014,12/7/2014,0.0298,1/4/2015,1/5/2015,1/13/2015,37,M,,5.593,,Alive
Gazella,HI,PI,Fluctuating,1,12/5/2014,12/7/2014,0.2329,12/25/2014,12/26/2014,1/3/2015,27,F,,6.071,,Alive
Gazella,HI,PBS,Constant,2,1/21/2015,1/22/2015,0.1131,2/10/2015,2/11/2015,2/18/2015,27,F,0.1696,5.745,,Alive
Gazella,HI,PBS,Constant,2,1/21/2015,1/24/2015,,,,,,,,,,Dead
Gazella,HI,PBS,Constant,2,1/21/2015,1/23/2015,,,,,,,,,,Dead
Gazella,HI,PBS,Constant,2,1/21/2015,1/24/2015,0.0927,2/13/2015,2/14/2015,2/21/2015,28,F,0.1801,5.855,,Alive
Gazella,HI,PBS,Constant,2,1/21/2015,1/23/2015,0.0983,2/10/2015,2/11/2015,2/18/2015,26,F,0.195,6.114,,Alive
Gazella,HI,PBS,Constant,2,1/21/2015,1/24/2015,0.2311,2/8/2015,2/9/2015,2/16/2015,23,M,0.2546,6.86,,Alive
Gazella,HI,PBS,Constant,2,1/21/2015,1/22/2015,0.2532,2/8/2015,2/9/2015,2/16/2015,25,F,0.2787,6.768,,Alive
Gazella,HI,PBS,Constant,2,1/21/2015,1/22/2015,0.2642,2/9/2015,2/10/2015,2/17/2015,26,F,0.2424,6.515,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/23/2015,0.1295,2/10/2015,2/11/2015,2/18/2015,26,F,0.1834,5.998,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/22/2015,0.2908,2/8/2015,2/9/2015,2/16/2015,25,M,0.2846,7.081,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/22/2015,0.2527,2/8/2015,2/9/2015,2/16/2015,25,M,0.2769,6.93,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/23/2015,0.2261,2/10/2015,2/11/2015,2/18/2015,26,M,0.2495,6.714,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/23/2015,0.1819,2/10/2015,2/11/2015,2/18/2015,26,F,0.2508,6.584,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/24/2015,0.2136,2/10/2015,2/11/2015,2/18/2015,25,F,0.2287,6.362,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/23/2015,0.066,2/13/2015,2/14/2015,2/21/2015,29,F,0.2015,6.065,,Alive
Gazella,HI,PI,Constant,2,1/21/2015,1/23/2015,,,,,,,,,,Dead
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/22/2015,0.1696,2/10/2015,2/11/2015,2/19/2015,28,F,0.2205,6.222,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/24/2015,0.1001,2/12/2015,2/13/2015,2/21/2015,28,F,0.1946,5.903,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/22/2015,0.0733,2/12/2015,2/13/2015,2/21/2015,30,F,0.215,6.184,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/23/2015,0.0918,2/13/2015,2/14/2015,2/22/2015,30,M,0.1422,5.392,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/24/2015,0.0604,2/20/2015,2/21/2015,3/1/2015,36,M,0.1316,5.207,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/22/2015,0.105,2/10/2015,2/11/2015,2/19/2015,28,M,0.2788,6.653,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/22/2015,0.1759,2/10/2015,2/11/2015,2/19/2015,28,F,0.253,6.471,,Alive
Gazella,HI,PBS,Fluctuating,2,1/21/2015,1/24/2015,0.0413,2/22/2015,2/24/2015,3/4/2015,39,F,0.1365,5.21,,Alive
Gazella,HI,PI,Fluctuating,2,1/21/2015,1/24/2015,0.1367,2/11/2015,2/12/2015,2/20/2015,27,F,0.2046,6.039,,Alive
Gazella,HI,PI,Fluctuating,2,1/21/2015,1/22/2015,0.1812,2/10/2015,2/11/2015,2/19/2015,28,M,0.262,6.753,,Alive
Gazella,HI,PI,Fluctuating,2,1/21/2015,1/22/2015,,,,,,,,,,Dead
Gazella,HI,PI,Fluctuating,2,1/21/2015,1/24/2015,,,,,,,,,,Dead
Gazella,HI,PI,Fluctuating,2,1/21/2015,1/22/2015,0.1274,2/11/2015,2/12/2015,2/20/2015,29,M,0.2388,6.448,,Alive
Gazella,HI,PI,Fluctuating,2,1/21/2015,1/22/2015,0.125,2/10/2015,2/11/2015,2/19/2015,28,M,0.2698,6.784,,Alive
Gazella,HI,PBS,Constant,3,3/12/2015,3/16/2015,,,,,,,,,,Dead
Gazella,HI,PBS,Constant,3,3/12/2015,3/14/2015,,4/6/2015,4/7/2015,4/14/2015,31,M,0.1857,6.108,,Alive
Gazella,HI,PBS,Constant,3,3/12/2015,3/14/2015,,4/8/2015,4/9/2015,4/16/2015,33,M,0.1746,5.829,,Alive
Gazella,HI,PBS,Constant,3,3/12/2015,3/16/2015,,,,,,,,,,Dead
Gazella,HI,PI,Constant,3,3/12/2015,3/16/2015,,4/5/2015,4/6/2015,4/13/2015,28,M,0.2661,6.686,,Alive
