Mother.Individual,Treatment ID,Breakdown date,BB weight,Adult emergence,Time to adulthood,Adult size,Sex,Dead?,,Maternal size
3.1,gg,10/2/2017,5.747,10/27/2017,25,6.68,f,,,5.81
3.2,gg,10/2/2017,4.482,10/26/2017,24,6.43,m,,,5.81
3.3,gg,10/2/2017,5.458,10/27/2017,25,6.21,f,,,5.81
3.4,gg,10/2/2017,7.855,10/26/2017,24,5.72,f,,,5.81
3.5,gg,10/2/2017,6.485,10/28/2017,26,6.54,m,,,5.81
3.6,gg,10/2/2017,4.488,10/27/2017,25,6.46,f,,,5.81
3.7,gg,10/2/2017,6.044,10/26/2017,24,6.81,m,,,5.81
3.8,gg,10/2/2017,4.15,,,,,y,,5.81
3.9,gg,10/2/2017,5.152,10/29/2017,27,6.18,m,,,5.81
3.10,gg,10/2/2017,5.085,10/26/2017,24,6.47,f,,,5.81
3.11,gg,10/2/2017,4.337,10/27/2017,25,7.15,m,,,5.81
3.12,gg,10/2/2017,4.263,,,,,y,,5.81
3.13,gg,10/2/2017,4.594,10/25/2017,23,6.32,f,,,5.81
3.14,gg,10/2/2017,5.048,10/28/2017,26,6.46,m,,,5.81
3.15,gg,10/2/2017,4.168,10/27/2017,25,6.31,f,,,5.81
3.16,gg,10/2/2017,4.819,10/27/2017,25,6.78,m,,,5.81
3.17,gg,10/2/2017,3.943,,,,,y,,5.81
3.18,gg,10/2/2017,4.346,,,,,y,,5.81
3.19,gg,10/2/2017,4.795,10/26/2017,24,6.27,f,,,5.81
3.20,gg,10/2/2017,4.034,10/26/2017,24,6.42,f,,,5.81
3.21,gg,10/2/2017,4.074,10/26/2017,24,6.47,f,,,5.81
4.1,gg,10/2/2017,6.642,,,,,y,,5.65
4.2,gg,10/2/2017,4.922,10/27/2017,25,6.51,m,,,5.65
4.3,gg,10/2/2017,4.956,10/26/2017,24,6.46,f,,,5.65
4.4,gg,10/2/2017,5.847,10/27/2017,25,6.08,f,,,5.65
4.5,gg,10/2/2017,5.767,10/25/2017,23,6.41,f,,,5.65
4.6,gg,10/2/2017,5.154,10/27/2017,25,6.62,f,,,5.65
4.7,gg,10/2/2017,6.124,10/28/2017,26,6.8,m,,,5.65
4.8,gg,10/2/2017,5.884,10/28/2017,26,6.28,f,,,5.65
4.9,gg,10/2/2017,3.74,,,,,y,,5.65
4.10,gg,10/2/2017,5.71,10/28/2017,26,6.55,m,,,5.65
4.11,gg,10/2/2017,5.859,10/27/2017,25,6.64,m,,,5.65
4.12,gg,10/2/2017,6.189,10/28/2017,26,6.46,f,,,5.65
4.13,gg,10/2/2017,5.928,,,,,y,,5.65
5.1,gg,10/2/2017,5.267,,,,,y,,5.45
5.2,gg,10/2/2017,4.775,,,,,y,,5.45
