Plate-Well ID,Start date,Treatment ID,LW,LD,LT,PW,PD,PT,ATW,AD,AT,Sex,Dead?,,,,,,,,,,,,
1-A1,6/25/2017,gs,0.276,,,,,,,,,,y,,LW - Larval 3 weight,,,,,,,,,,
1-B1,6/25/2017,gs,0.2277,7/3/2017,8,0.188,7/19/2017,24,5.84,7/24/2017,29,f,,,LT - Time to larva 3,,,,,,,,,,
1-C1,6/25/2017,gs,0.1844,7/3/2017,8,0.1424,7/19/2017,24,5.12,7/26/2017,31,m,,,PW - Pupa weight,,,,,,,,,,
1-A2,6/25/2017,sg,,,,,,,,,,,y,,PT - Time to pupa,,,,,,,,,,
1-B2,6/25/2017,sg,,,,,,,,,,,y,,ATW - Adult thorax width,,,,,,,,,,
1-C2,6/25/2017,sg,,,,,,,,,,,y,,AT - Time to adult,,,,,,,,,,
1-A3,6/25/2017,gg,0.3478,7/3/2017,8,0.2024,7/15/2017,20,5.87,7/21/2017,26,f,,,,,,,,,,,,,
1-B3,6/25/2017,gg,0.4108,7/3/2017,8,0.241,7/13/2017,18,6.17,7/19/2017,24,f,,,"L,P,AD - Larval, Pupa, Adult date",,,,,,,,,,
1-C3,6/25/2017,gg,0.2613,7/3/2017,8,0.1716,7/17/2017,22,5.98,7/24/2017,29,f,,,,,,,,,,,,,
1-A4,6/25/2017,ss,0.0621,7/9/2017,14,,,,,,,,y,,,,,,,,,,,,
1-B4,6/25/2017,ss,,,,,,,,,,,y,,Averages:,,,,,,,,,,
1-C4,6/25/2017,ss,0.1319,7/3/2017,8,0.0969,7/17/2017,22,4.52,7/24/2017,29,m,,,treatment,LW,LT,PW,PT,ATW,AT,survival,N Total,N Adults,N Adult Females
2-A1,6/25/2017,gg,0.1893,7/3/2017,8,0.1528,7/19/2017,24,5.44,7/26/2017,31,f,,,gg,0.2174,7.695652174,0.1847444444,20.84210526,5.671875,28.29411765,0.7083333333,24,17,10
2-B1,6/25/2017,gg,0.2931,7/3/2017,8,0.2058,7/15/2017,20,6.01,7/24/2017,29,f,,,gs,0.1945875,8.733333333,0.1521071429,23.57142857,5.347272727,30.81818182,0.4782608696,23,11,6
2-C1,6/25/2017,gg,0.0903,7/3/2017,8,,,,,,,,y,,sg,0.110575,11.8,0.0817666667,26,4.186666667,32.33333333,0.1304347826,23,3,1
2-A2,6/25/2017,ss,0.0481,7/11/2017,16,0.0235,7/31/2017,36,,,,,y,,ss,0.1007105263,10.47368421,0.08346,26.0625,4.132142857,31.78571429,0.4375,32,14,7
2-B2,6/25/2017,ss,,,,,,,,,,,y,,(egg/pedestal),,,,,,,,,,
2-C2,6/25/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
2-A3,6/25/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
2-B3,6/25/2017,sg,0.0902,7/5/2017,10,0.0868,7/21/2017,26,4.33,7/26/2017,31,f,,,,,,,,,,,,,
2-C3,6/25/2017,gs,0.2283,7/3/2017,8,0.1885,7/17/2017,22,5.93,7/24/2017,29,m,,,,,,,,,,,,,
2-A4,6/25/2017,gs,0.0493,7/15/2017,20,,,,,,,,y,,,,,,,,,,,,
2-B4,6/25/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
2-C4,6/25/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
3-A1,6/25/2017,ss,0.0628,7/5/2017,10,0.0572,7/24/2017,29,3.71,7/31/2017,36,f,,,,,,,,,,,,,
3-B1,6/25/2017,ss,0.125,7/5/2017,10,0.0837,7/21/2017,26,4.21,7/28/2017,33,f,,,,,,,,,,,,,
3-C1,6/25/2017,ss,0.125,7/5/2017,10,0.0952,7/19/2017,24,4.55,7/26/2017,31,m,,,,,,,,,,,,,
3-A2,6/25/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
3-B2,6/25/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
3-C2,6/25/2017,gs,0.2272,7/3/2017,8,0.1729,7/15/2017,20,5.94,7/24/2017,29,m,,,,,,,,,,,,,
3-A3,6/25/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
3-B3,6/25/2017,gs,0.1825,7/3/2017,8,0.1635,7/17/2017,22,,,,m,y,,,,,,,,,,,,
3-C3,6/25/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
3-A4,6/25/2017,gg,0.1645,7/3/2017,8,0.1819,7/17/2017,22,5.96,7/24/2017,29,m,,,,,,,,,,,,,
3-B4,6/25/2017,gg,0.2706,7/3/2017,8,0.2038,7/15/2017,20,,,,f,y,,,,,,,,,,,,
3-C4,6/25/2017,gg,0.2194,7/3/2017,8,0.1516,7/15/2017,20,5.4,7/24/2017,29,f,,,,,,,,,,,,,
4-A1,7/2/2017,gs,0.217,7/9/2017,7,0.156,7/24/2017,22,5.52,7/31/2017,29,m,,,,,,,,,,,,,
4-B1,7/2/2017,gs,0.1811,7/7/2017,5,0.1519,7/26/2017,24,5.24,8/2/2017,31,f,,,,,,,,,,,,,
4-C1,7/2/2017,gs,0.1197,7/15/2017,13,0.0642,7/31/2017,29,3.78,8/7/2017,36,f,,,,,,,,,,,,,
4-A2,7/2/2017,sg,,7/11/2017,9,0.0849,7/28/2017,26,4.31,8/4/2017,33,m,,,,,,,,,,,,,
4-B2,7/2/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
4-C2,7/2/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
4-A3,7/2/2017,gg,,,,,,,,,,,y,,,,,,,,,,,,
4-B3,7/2/2017,gg,0.1651,7/9/2017,7,0.1521,7/24/2017,22,5.49,7/31/2017,29,m,,,,,,,,,,,,,
4-C3,7/2/2017,gg,0.0536,7/11/2017,9,,,,,,,,y,,,,,,,,,,,,
4-A4,7/2/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
4-B4,7/2/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
4-C4,7/2/2017,ss,0.136,7/11/2017,9,0.0951,7/24/2017,22,4.53,7/31/2017,29,f,,,,,,,,,,,,,
5-A2,7/2/2017,gg,0.2317,7/9/2017,7,0.1889,7/21/2017,19,5.87,7/28/2017,26,m,,,,,,,,,,,,,
5-B2,7/2/2017,gg,0.2801,7/9/2017,7,0.1873,7/21/2017,19,5.54,7/28/2017,26,m,,,,,,,,,,,,,
5-C2,7/2/2017,gg,0.1452,7/9/2017,7,,,,,,,,y,,,,,,,,,,,,
5-A4,7/2/2017,ss,0.0648,7/11/2017,9,0.0541,7/28/2017,26,3.4,8/2/2017,31,f,,,,,,,,,,,,,
5-B4,7/2/2017,ss,0.0668,7/11/2017,9,0.0671,7/31/2017,29,3.74,8/7/2017,36,f,,,,,,,,,,,,,
5-C4,7/2/2017,ss,0.0464,7/15/2017,13,,,,,,,,y,,,,,,,,,,,,
6-A1,7/9/2017,gg,0.2487,7/17/2017,8,0.1997,7/31/2017,22,5.83,8/7/2017,29,m,,,,,,,,,,,,,
6-B1,7/9/2017,gg,0.2416,7/17/2017,8,0.1973,7/31/2017,22,5.96,8/7/2017,29,f,,,,,,,,,,,,,
6-C1,7/9/2017,gg,0.2196,7/17/2017,8,0.201,8/2/2017,24,5.39,8/9/2017,31,f,,,,,,,,,,,,,
6-A2,7/9/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
6-B2,7/9/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
6-C2,7/9/2017,gs,0.2653,7/15/2017,6,0.2404,7/31/2017,22,5.93,8/7/2017,29,f,,,,,,,,,,,,,
6-A3,7/9/2017,ss,0.1658,7/17/2017,8,0.1231,8/2/2017,24,4.31,8/7/2017,29,m,,,,,,,,,,,,,
6-B3,7/9/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
6-C3,7/9/2017,ss,0.1136,7/17/2017,8,0.0913,7/31/2017,22,3.96,8/7/2017,29,m,,,,,,,,,,,,,
6-A4,7/9/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
6-B4,7/9/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
6-C4,7/9/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
7-A1,7/9/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
7-B1,7/9/2017,gs,0.1869,7/17/2017,8,0.1835,8/2/2017,24,5.41,8/9/2017,31,f,,,,,,,,,,,,,
7-C1,7/9/2017,ss,0.1193,7/17/2017,8,0.0962,7/31/2017,22,4.17,8/7/2017,29,f,,,,,,,,,,,,,
7-A2,7/9/2017,sg,0.127,7/24/2017,15,0.0736,8/4/2017,26,3.92,8/11/2017,33,m,,,,,,,,,,,,,
7-B2,7/9/2017,sg,0.1342,7/21/2017,12,,,,,,,,y,,,,,,,,,,,,
7-C2,7/9/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
7-A3,7/9/2017,ss,0.1083,7/19/2017,10,0.1109,8/4/2017,26,4.56,8/11/2017,33,m,,,,,,,,,,,,,
7-B3,7/9/2017,ss,0.188,7/21/2017,12,0.1013,8/2/2017,24,4.14,8/9/2017,31,m,,,,,,,,,,,,,
7-C3,7/9/2017,ss,0.0868,7/19/2017,10,0.0814,8/4/2017,26,4.12,8/11/2017,33,m,,,,,,,,,,,,,
7-A4,7/9/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
